source_order,sample_name,nacl_lattice_a_angstrom,nacl_lattice_error_angstrom,pressure_gpa,sample_lattice_a_angstrom,sample_lattice_error_angstrom,compression_path,nacl_phase,volume_a3_conventional_cell,volume_error_a3,sample_volume_interpretation
1,mw20a_005,5.6003,0.0006,0.54,4.2323,0.0004,compression,B1,75.8104951523,0.021494835948,B1_cell
2,mw20a_034,5.4003,0.0005,4.34,4.2102,0.0009,compression,B1,74.6290959652,0.047859616908,B1_cell
3,mw20a_080,5.1530,0.0031,12.59,4.1401,0.0007,compression,B1,70.9630860042,0.035994898821,B1_cell
4,mw20a_051,5.1254,0.0002,13.84,4.1412,0.0008,compression,B1,71.0196644465,0.041158889856,B1_cell
5,mw20a_082,5.1170,0.0027,14.23,4.1359,0.0005,compression,B1,70.7473356313,0.025658503215,B1_cell
6,mw20a_246,5.0346,0.0025,18.52,4.1071,0.0006,compression,B1,69.2796734009,0.030362886738,B1_cell
7,mw20a_109,4.9971,0.0000,20.73,4.0869,0.0007,compression,B1,68.2624755549,0.035075778381,B1_cell
8,mw20a_298,3.0438,0.0000,27.15,4.0686,0.0000,compression,B2,67.3495943489,0,B1_cell
9,mw20a_295,3.0373,0.0000,28.00,4.0641,0.0002,compression,B2,67.1263690947,0.009910145286,B1_cell
10,mw20a_110,4.8738,0.0015,29.30,4.0385,0.0011,compression,B1,65.8658440666,0.053821291425,B1_cell
11,mw20a_300,3.0228,0.0000,29.97,4.0428,0.0005,compression,B2,66.0764604828,0.02451634776,B1_cell
12,mw20a_189,2.9889,0.0003,35.01,4.0142,0.0008,compression,B2,64.6840225433,0.038673123936,B1_cell
13,mw20a_216,2.9867,0.0000,35.36,4.0083,0.0004,compression,B2,64.3992272518,0.019279762668,B1_cell
14,mw20a_240,2.9834,0.0009,35.89,4.0059,0.0005,compression,B2,64.2836179254,0.024070852215,B1_cell
15,mw20a_327,2.9742,0.0007,37.40,4.0003,0.0028,compression,B2,64.01440108,0.134420160756,B1_cell
16,mw20a_163,2.9655,0.0010,38.88,3.9874,0.0002,compression,B2,63.3971031196,0.009539615256,B1_cell
17,mw20a_137,2.9538,0.0000,40.95,3.9820,0.0010,compression,B2,63.139882168,0.047568972,B1_cell
18,mw20a_352,2.9474,0.0000,42.12,3.9790,0.0013,compression,B2,62.997282739,0.0617465199,B1_cell
19,mw20a_111,2.9450,0.0005,42.56,3.9760,0.0012,compression,B2,62.854898176,0.0569108736,B1_cell
20,mw20a_370,2.9425,0.0021,42.66,3.9648,0.0011,compression,B2,62.3252248658,0.051874808832,B1_cell
21,mw20a_491,2.9266,0.0005,46.12,3.9537,0.0001,compression,B2,61.8032250272,0.004689523107,B1_cell
22,mw20a_467,2.9151,0.0015,48.46,3.9461,0.0015,compression,B2,61.4475059292,0.070072673445,B1_cell
23,mw20a_444,2.9038,0.0001,50.87,3.9362,0.0000,compression,B2,60.9861855859,0,B1_cell
24,mw20a_381,2.8806,0.0005,56.14,3.9162,0.0021,compression,B2,60.0612807995,0.096620721372,B1_cell
25,mw20a_396,2.8727,0.0022,58.05,3.9081,0.0024,compression,B2,59.6893711684,0.109967368392,B1_cell
26,mw20a_413,2.8506,0.0005,63.68,3.8887,0.0026,compression,B2,58.8048735301,0.117951503982,B1_cell
27,mw20c_006,5.5180,0.0022,1.86,4.2289,0.0005,compression,B1,75.6279357836,0.026825392815,B1_cell
28,mw20b_001,5.3447,0.0002,5.79,4.1937,0.0032,compression,B1,73.755103844,0.168836349024,B1_cell
29,mw20b_014,5.2705,0.0010,8.07,4.1839,0.0012,compression,B1,73.2392498727,0.063018069156,B1_cell
30,mw20c_192,5.2142,0.0042,10.08,4.1537,0.0025,compression,B1,71.6647152412,0.129399177675,B1_cell
31,mw20b_038,5.1042,0.0001,14.85,4.1308,0.0006,compression,B1,70.4859414901,0.030714315552,B1_cell
32,mw20b_039,5.1034,0.0014,14.89,4.1297,0.0004,compression,B1,70.4296469051,0.020465306508,B1_cell
33,mw20b_022,5.0760,0.0003,16.27,4.1184,0.0023,compression,B1,69.8530825175,0.117032408064,B1_cell
34,mw20c_308,3.0460,0.0022,26.86,4.0503,0.0001,compression,B2,66.4448883435,0.004921479027,B1_cell
