source_order,sample_name,nacl_lattice_a_angstrom,nacl_lattice_error_angstrom,pressure_gpa,sample_lattice_a_angstrom,sample_lattice_error_angstrom,compression_path,nacl_phase,volume_a3_conventional_cell,volume_error_a3,sample_volume_interpretation
1,mw39a_001,5.6489,0.0002,-0.10,4.2631,0.0004,compression,B1,77.4776715256,0.021808825932,B1_cell
2,mw39a_002,5.6477,0.0004,-0.09,4.2634,0.0003,compression,B1,77.4940292961,0.016358921604,B1_cell
3,mw39a_003,5.2846,0.0012,7.60,4.2028,0.0004,compression,B1,74.236274806,0.021196233408,B1_cell
4,mw39a_004,5.2563,0.0021,8.55,4.1960,0.0003,compression,B1,73.876521536,0.0158457744,B1_cell
5,mw39a_005,5.2563,0.0007,8.55,4.1935,0.0039,compression,B1,73.7445520754,0.205749674325,B1_cell
6,mw39b_013,5.1070,0.0006,14.71,4.1535,0.0079,compression,B1,71.6543638054,0.408862025325,B1_cell
7,mw39b_019,4.9506,0.0029,23.72,4.1015,0.0009,compression,B1,68.9966726784,0.045420216075,B1_cell
8,mw39a_008,4.9275,0.0020,25.31,4.0905,0.0015,compression,B1,68.4430242176,0.075294856125,B1_cell
9,mw39b_027,2.9857,0.0000,35.52,4.0400,0.0000,compression,B2,65.939264,0,B1_cell
10,mw39a_014,2.9280,0.0000,45.84,4.0000,0.0000,compression,B2,64,0,B1_cell
11,mw39a_012,2.9215,0.0002,47.15,3.9788,0.0015,compression,B2,62.9877837519,0.07123882248,B1_cell
12,mw39a_013,2.9196,0.0000,47.54,3.9817,0.0000,compression,B2,63.1256125515,0,B1_cell
13,mw39b_028,2.9012,0.0000,51.44,3.9646,0.0000,compression,B2,62.3157935581,0,B1_cell
14,mw39a_016,2.8741,0.0000,57.71,3.9308,0.0000,compression,B2,60.7355323061,0,B1_cell
15,mw39b_036,2.8426,0.0000,65.84,3.8756,0.0000,compression,B2,58.2125791852,0,B1_cell
16,mw39a_017,2.8206,0.0000,72.12,3.8578,0.0000,compression,B2,57.4141746766,0,B1_cell
17,mw39b_054,2.8059,0.0000,76.62,3.8432,0.0000,compression,B2,56.7647797576,0,B1_cell
18,mw39a_018,2.7945,0.0000,80.29,3.8336,0.0038,compression,B2,56.3404600771,0.167539974144,B1_cell
19,mw39a_020,2.7858,0.0006,83.20,3.8273,0.0000,compression,B2,56.0631526524,0,B1_cell
20,mw39a_019,2.7849,0.0000,83.50,3.8285,0.0000,compression,B2,56.1159027991,0,B1_cell
21,mw39a_022,2.7831,0.0005,84.12,3.8249,0.0017,compression,B2,55.9577515522,0.074612286051,B1_cell
22,mw39a_039,2.7824,0.0018,84.36,3.8261,0.0017,compression,B2,56.0104355736,0.074659110171,B1_cell
23,mw39b_059,2.7786,0.0000,85.67,3.8204,0.0028,compression,B2,55.7604807137,0.122601831744,B1_cell
24,mw39b_073,2.7699,0.0001,88.76,3.8147,0.0003,compression,B2,55.5112706025,0.013096742481,B1_cell
25,mw39b_075,2.7557,0.0008,94.03,3.7984,0.0034,compression,B2,54.8027171799,0.147163994112,B1_cell
26,mw39b_076,2.7439,0.0019,98.62,3.7831,0.0018,compression,B2,54.1431431272,0.077283966294,B1_cell
27,mw39a_040,2.7415,0.0000,99.58,3.7852,0.0000,compression,B2,54.2333578142,0,B1_cell
28,mw39b_079,2.7344,0.0040,102.48,3.7773,0.0011,compression,B2,53.8944986089,0.047084384457,B1_cell
29,mw39b_080,2.7249,0.0048,106.48,3.7656,0.0006,compression,B2,53.3952415964,0.025523538048,B1_cell
30,mw39b_081,2.7116,0.0026,112.33,3.7512,0.0035,compression,B2,52.7850162017,0.14775076512,B1_cell
31,mw39b_085,2.7027,0.0008,116.41,3.7520,0.0011,compression,B2,52.818795008,0.0464557632,B1_cell
32,mw39b_086,2.6989,0.0011,118.20,3.7423,0.0020,compression,B2,52.410197806,0.08402885574,B1_cell
33,mw39b_094,2.6774,0.0000,128.82,3.7203,0.0025,compression,B2,51.4913035644,0.103804740675,B1_cell
34,mw39b_102,2.6730,0.0000,131.11,3.7141,0.0002,compression,B2,51.2342965942,0.008276723286,B1_cell
35,mw39b_103,2.6720,0.0000,131.63,3.7175,0.0000,compression,B2,51.3751297344,0,B1_cell
36,mw39b_105,2.6625,0.0000,136.72,3.7065,0.0000,compression,B2,50.9204242496,0,B1_cell
37,mw39b_108,2.6521,0.0001,142.51,3.6959,0.0012,compression,B2,50.4847995221,0.049174836516,B1_cell
38,mw39b_110,2.6430,0.0021,147.77,3.6854,0.0050,compression,B2,50.0557409639,0.2037325974,B1_cell
39,mw39c_002,2.6481,0.0009,144.80,3.6870,0.0024,decompression,B2,50.120963703,0.0978765768,B1_cell
40,mw39c_010,2.6539,0.0018,141.49,3.6915,0.0021,decompression,B2,50.3047063609,0.085851185175,B1_cell
41,mw39c_012,2.6561,0.0012,140.25,3.6948,0.0050,decompression,B2,50.4397360034,0.2047732056,B1_cell
42,mw39c_017,2.6690,0.0034,133.21,3.7116,0.0022,decompression,B2,51.1309071769,0.090921432096,B1_cell
43,mw39c_016,2.6735,0.0011,130.84,3.7122,0.0009,decompression,B2,51.1557079398,0.037207157868,B1_cell
