family,material_identifier,record_identifier,formula,model,V0,K0,K0_prime,pressure_min_gpa,pressure_max_gpa,temperature_min_k,temperature_max_k,reference_doi
experimental_fit,ag_sun_2010_legacy,ag_sun_2010_low_vn,Ag,vinet,17.053736219875404,105.5,5.564,0.0,28.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,ag_sun_2010_legacy,ag_sun_2010_low_mrs3,Ag,morse_3,17.053736219875404,105.32,5.742,0.0,28.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,ag_sun_2010_legacy,ag_sun_2010_low_sms3,Ag,sun_morse_3,17.053736219875404,105.61,5.695,0.0,28.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,ag_sun_2010_legacy,ag_sun_2010_low_sms4,Ag,sun_morse_4,17.053736219875404,105.39,5.692,0.0,28.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,ag_sun_2010_legacy,ag_sun_2010_low_bn,Ag,baonza,17.053736219875404,105.65,5.537,0.0,28.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,al_sun_2010_legacy,al_sun_2010_low_vn,Al,vinet,16.605390671738466,74.762,5.036,0.0,18.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,al_sun_2010_legacy,al_sun_2010_low_mrs3,Al,morse_3,16.605390671738466,75.416,4.945,0.0,18.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,al_sun_2010_legacy,al_sun_2010_low_sms3,Al,sun_morse_3,16.605390671738466,75.406,4.956,0.0,18.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,al_sun_2010_legacy,al_sun_2010_low_sms4,Al,sun_morse_4,16.605390671738466,75.516,4.902,0.0,18.0,300.0,300.0,10.1515/zna-2010-1-202
compiled_reference,aluminum,aluminum_delta_archive_experimental_reference_bm3,Al,birch_murnaghan_3,65.0744536416,77.1357712089,4.45,,,,,10.24435/materialscloud:5e-mv
experimental_fit,aluminum,aluminum_dewaele_2019_mao_vinet,Al,vinet,66.292,76.32,4.16,0.0,155.0,300.0,300.0,10.3390/min9110684
experimental_fit,aluminum,aluminum_dewaele_2019_dor_vinet,Al,vinet,66.336,74.2,4.52,0.0,155.0,300.0,300.0,10.3390/min9110684
experimental_fit,aluminum,aluminum_dewaele_2004_mao_ruby_vinet,Al,vinet,66.292,76.3,4.16,0.0,144.0,300.0,300.0,10.1103/PhysRevB.70.094112
experimental_fit,au_sun_2010_legacy,au_sun_2010_low_vn,Au,vinet,16.970709266516714,184.07,5.029,0.0,46.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,au_sun_2010_legacy,au_sun_2010_low_mrs3,Au,morse_3,16.970709266516714,184.74,5.118,0.0,46.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,au_sun_2010_legacy,au_sun_2010_low_sms3,Au,sun_morse_3,16.970709266516714,184.3,5.165,0.0,46.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,au_sun_2010_legacy,au_sun_2010_low_sms4,Au,sun_morse_4,16.970709266516714,184.49,5.125,0.0,46.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,au_sun_2010_legacy,au_sun_2010_low_bn,Au,baonza,16.970709266516714,184.64,4.983,0.0,46.0,300.0,300.0,10.1515/zna-2010-1-202
compiled_reference,barium_bcc,barium_bcc_delta_archive_experimental_reference_bm3,Ba,birch_murnaghan_3,124.574958542,10.5948206033,2.43,,,,,10.24435/materialscloud:5e-mv
experimental_fit,be_sun_2010_legacy,be_sun_2010_low_vn,Be,vinet,8.12003603848011,119.97,3.434,0.0,26.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,be_sun_2010_legacy,be_sun_2010_low_mrs3,Be,morse_3,8.12003603848011,120.25,3.53,0.0,26.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,be_sun_2010_legacy,be_sun_2010_low_sms3,Be,sun_morse_3,8.12003603848011,120.16,3.555,0.0,26.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,be_sun_2010_legacy,be_sun_2010_low_sms4,Be,sun_morse_4,8.12003603848011,120.24,3.52,0.0,26.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,beryllium_hcp,beryllium_hcp_dewaele_2019_mao_vinet,Be,vinet,16.266,115.2,2.94,0.0,95.0,300.0,300.0,10.3390/min9110684
experimental_fit,beryllium_hcp,beryllium_hcp_dewaele_2019_dor_vinet,Be,vinet,16.268,113.4,3.29,0.0,95.0,300.0,300.0,10.3390/min9110684
compiled_reference,bismuth_a7,bismuth_a7_delta_archive_experimental_reference_bm3,Bi,birch_murnaghan_3,210.7535057886,32.0779415682,2.4,,,,,10.24435/materialscloud:5e-mv
experimental_fit,ca_sun_2010_legacy,ca_sun_2010_low_vn,Ca,vinet,43.38988582525261,19.48,2.532,0.0,4.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,ca_sun_2010_legacy,ca_sun_2010_low_mrs3,Ca,morse_3,43.38988582525261,19.336,2.579,0.0,4.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,ca_sun_2010_legacy,ca_sun_2010_low_sms3,Ca,sun_morse_3,43.38988582525261,19.299,2.632,0.0,4.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,ca_sun_2010_legacy,ca_sun_2010_low_sms4,Ca,sun_morse_4,43.38988582525261,19.336,2.585,0.0,4.0,300.0,300.0,10.1515/zna-2010-1-202
compiled_reference,cadmium_hcp,cadmium_hcp_delta_archive_experimental_reference_bm3,Cd,birch_murnaghan_3,42.0145830514,50.6575327406,4.9,,,,,10.24435/materialscloud:5e-mv
compiled_reference,calcium_fcc,calcium_fcc_delta_archive_experimental_reference_bm3,Ca,birch_murnaghan_3,171.7815733224,15.8522348531,3.1,,,,,10.24435/materialscloud:5e-mv
experimental_fit,cd_sun_2010_legacy,cd_sun_2010_low_vn,Cd,vinet,21.587007873260006,50.959,4.704,0.0,14.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,cd_sun_2010_legacy,cd_sun_2010_low_mrs3,Cd,morse_3,21.587007873260006,50.767,5.554,0.0,14.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,cd_sun_2010_legacy,cd_sun_2010_low_sms3,Cd,sun_morse_3,21.587007873260006,50.704,5.592,0.0,14.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,cd_sun_2010_legacy,cd_sun_2010_low_sms4,Cd,sun_morse_4,21.587007873260006,50.726,5.553,0.0,14.0,300.0,300.0,10.1515/zna-2010-1-202
compiled_reference,cesium_bcc,cesium_bcc_delta_archive_experimental_reference_bm3,Cs,birch_murnaghan_3,220.6481658286,2.3449684759,3.79,,,,,10.24435/materialscloud:5e-mv
compiled_reference,chromium,chromium_delta_archive_experimental_reference_bm3,Cr,birch_murnaghan_3,23.643636398,204.5647000914,6.895,,,,,10.24435/materialscloud:5e-mv
experimental_fit,co_sun_2010_legacy,co_sun_2010_low_vn,Co,vinet,11.107345820325861,196.4,4.145,0.0,46.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,co_sun_2010_legacy,co_sun_2010_low_mrs3,Co,morse_3,11.107345820325861,195.97,4.359,0.0,46.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,co_sun_2010_legacy,co_sun_2010_low_sms3,Co,sun_morse_3,11.107345820325861,196.27,4.359,0.0,46.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,co_sun_2010_legacy,co_sun_2010_low_sms4,Co,sun_morse_4,11.107345820325861,195.86,4.352,0.0,46.0,300.0,300.0,10.1515/zna-2010-1-202
compiled_reference,cobalt_hcp,cobalt_hcp_delta_archive_experimental_reference_bm3,Co,birch_murnaghan_3,21.9126382622,198.3952571603,4.26,,,,,10.24435/materialscloud:5e-mv
experimental_fit,cobalt_hcp,cobalt_hcp_dewaele_2019_mao_vinet,Co,vinet,22.154,197.0,3.85,0.0,66.0,300.0,300.0,10.3390/min9110684
experimental_fit,cobalt_hcp,cobalt_hcp_dewaele_2019_dor_vinet,Co,vinet,22.154,194.85,4.36,0.0,66.0,300.0,300.0,10.3390/min9110684
compiled_reference,copper,copper_delta_archive_experimental_reference_bm3,Cu,birch_murnaghan_3,46.587476506,144.2785999228,4.88,,,,,10.24435/materialscloud:5e-mv
experimental_fit,copper,copper_dewaele_2019_mao_vinet,Cu,vinet,47.24,135.3,4.91,0.0,155.0,300.0,300.0,10.3390/min9110684
experimental_fit,copper,copper_dewaele_2019_dor_vinet,Cu,vinet,47.24,133.1,5.38,0.0,155.0,300.0,300.0,10.3390/min9110684
experimental_fit,copper,copper_dewaele_2004_mao_ruby_vinet,Cu,vinet,47.24,135.1,4.91,0.0,144.0,300.0,300.0,10.1103/PhysRevB.70.094112
experimental_fit,cr_sun_2010_legacy,cr_sun_2010_low_vn,Cr,vinet,12.007357994734086,190.63,4.586,0.0,46.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,cr_sun_2010_legacy,cr_sun_2010_low_mrs3,Cr,morse_3,12.007357994734086,191.54,4.858,0.0,46.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,cr_sun_2010_legacy,cr_sun_2010_low_sms3,Cr,sun_morse_3,12.007357994734086,190.49,4.979,0.0,46.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,cr_sun_2010_legacy,cr_sun_2010_low_sms4,Cr,sun_morse_4,12.007357994734086,191.22,4.887,0.0,46.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,cu_sun_2010_legacy,cu_sun_2010_low_vn,Cu,vinet,11.81473546294192,140.95,4.798,0.0,34.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,cu_sun_2010_legacy,cu_sun_2010_low_mrs3,Cu,morse_3,11.81473546294192,141.47,4.691,0.0,34.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,cu_sun_2010_legacy,cu_sun_2010_low_sms3,Cu,sun_morse_3,11.81473546294192,141.47,4.711,0.0,34.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,cu_sun_2010_legacy,cu_sun_2010_low_sms4,Cu,sun_morse_4,11.81473546294192,141.38,4.722,0.0,34.0,300.0,300.0,10.1515/zna-2010-1-202
experimental_fit,cu_sun_2010_legacy,cu_sun_2010_low_bn,Cu,baonza,11.81473546294192,141.46,4.572,0.0,34.0,300.0,300.0,10.1515/zna-2010-1-202
compiled_reference,fe,fe_delta_archive_experimental_reference_bm3,Fe,birch_murnaghan_3,23.2787428056,175.1086987963,4.6,,,,,10.24435/materialscloud:5e-mv
compiled_reference,gold,gold_delta_archive_experimental_reference_bm3,Au,birch_murnaghan_3,67.2864398896,182.0053319987,6.4,,,,,10.24435/materialscloud:5e-mv
experimental_fit,gold,gold_dewaele_2019_mao_vinet,Au,vinet,67.932,166.4,5.47,0.0,131.0,300.0,300.0,10.3390/min9110684
experimental_fit,gold,gold_dewaele_2019_dor_vinet,Au,vinet,67.944,163.4,6.04,0.0,131.0,300.0,300.0,10.3390/min9110684
experimental_fit,gold,gold_dewaele_2004_mao_ruby_vinet,Au,vinet,67.848,172.5,5.4,0.0,144.0,300.0,300.0,10.1103/PhysRevB.70.094112
experimental_fit,gold,gold_dorfman_2012_tange_mgo_k0_fixed_vinet,Au,vinet,67.85,167.0,5.88,0.0,259.0,300.0,300.0,10.1029/2012JB009292
experimental_fit,gold,gold_dorfman_2012_tange_mgo_k0_free_vinet,Au,vinet,67.85,167.0,5.84,0.0,259.0,300.0,300.0,10.1029/2012JB009292
compiled_reference,hafnium_hcp,hafnium_hcp_delta_archive_experimental_reference_bm3,Hf,birch_murnaghan_3,44.5950697706,110.6674189102,3.95,,,,,10.24435/materialscloud:5e-mv
